Name of Student,GENERAL_APPEARANCE,MANNER_OF_SPEAKING,PHYSICAL_CONDITION,MENTAL_ALERTNESS,SELF_CONFIDENCE,ABILITY_TO_PRESENT IDEAS,COMMUNICATION_SKILLS,Student_Performance_Rating,CLASS
Student 42,5,4,5,5,4,4,4,3,Employable
Student 43,4,4,5,5,2,4,4,5,Employable
Student 44,2,3,4,3,4,3,3,5,LessEmployable
Student 45,4,4,5,5,2,4,4,5,LessEmployable
Student 46,1,3,4,4,4,4,3,5,LessEmployable
Student 47,5,3,3,3,1,3,3,3,LessEmployable
Student 48,4,4,5,5,4,4,4,5,Employable
Student 49,4,5,5,5,2,4,4,3,Employable
Student 50,3,4,5,5,2,4,4,5,Employable
Student 51,4,5,5,5,3,5,4,5,Employable
Student 52,2,4,5,5,5,4,4,5,Employable
Student 53,4,5,5,5,2,5,4,5,Employable
Student 54,3,4,5,5,2,4,4,3,Employable
Student 55,5,3,4,4,1,4,3,5,LessEmployable
Student 56,3,4,4,4,1,4,4,5,LessEmployable
Student 57,5,4,5,5,4,4,4,4,Employable
Student 58,2,5,4,4,5,5,4,5,Employable
Student 59,1,3,3,3,1,3,3,5,Employable
Student 60,3,4,4,4,4,4,4,5,LessEmployable
Student 61,1,3,3,4,2,3,3,5,Employable
Student 62,4,4,4,3,5,3,3,5,Employable
Student 63,1,4,4,3,2,3,3,4,LessEmployable
Student 64,2,4,4,4,4,4,4,4,Employable
Student 65,4,3,3,4,3,3,3,5,Employable
Student 66,3,5,3,5,2,5,5,5,Employable
Student 67,5,4,4,4,4,4,4,5,Employable
Student 68,3,5,5,5,4,5,5,5,Employable
Student 69,4,4,4,4,5,4,4,4,Employable
Student 70,1,3,3,3,2,3,3,5,Employable
Student 71,1,4,3,4,3,4,3,5,Employable
Student 72,5,4,4,4,2,4,4,5,LessEmployable
Student 73,4,3,3,3,2,3,4,5,LessEmployable
Student 74,3,4,4,4,3,4,3,4,Employable
Student 75,2,4,4,4,2,4,3,5,Employable
Student 76,3,4,4,4,2,4,4,5,Employable
Student 77,4,4,4,3,1,4,4,5,Employable
Student 78,4,4,4,3,1,4,3,5,LessEmployable
Student 79,5,3,2,3,2,2,3,5,Employable
Student 80,4,3,4,3,5,3,3,4,Employable
Student 81,3,4,3,4,4,4,3,5,LessEmployable
Student 82,1,4,4,4,3,3,3,5,Employable
Student 83,4,3,3,4,2,3,3,4,LessEmployable
Student 84,1,3,3,3,4,3,2,5,Employable
Student 85,1,4,4,4,5,4,4,5,Employable
Student 86,5,5,4,5,1,4,4,5,Employable
Student 87,2,4,4,3,4,4,3,5,LessEmployable
Student 88,2,4,4,4,3,4,4,5,Employable
Student 89,5,5,5,5,1,5,4,5,Employable
Student 90,3,3,3,3,4,2,2,4,Employable
Student 91,4,4,4,4,3,4,3,5,LessEmployable
Student 92,4,4,4,4,4,4,4,5,LessEmployable
Student 93,3,3,3,3,2,3,2,5,Employable
Student 94,3,4,4,4,4,4,4,4,Employable
Student 95,1,3,3,3,2,3,3,5,LessEmployable
Student 96,1,3,4,3,3,3,3,5,Employable
Student 97,3,3,4,3,4,3,2,5,Employable
Student 98,1,2,3,3,1,3,3,5,LessEmployable
Student 99,1,4,3,4,5,4,3,4,LessEmployable
Student 100,2,4,4,3,5,4,3,5,Employable
Student 101,3,4,5,4,4,4,4,5,LessEmployable
Student 102,4,4,4,4,2,3,3,5,LessEmployable
Student 103,2,4,4,4,3,4,3,5,LessEmployable
Student 104,4,4,4,4,2,4,4,5,LessEmployable
Student 105,4,5,4,4,5,4,4,5,LessEmployable
Student 106,3,5,4,5,2,5,5,5,Employable
Student 107,1,4,4,4,3,4,4,5,Employable
Student 108,1,4,4,4,4,4,3,4,LessEmployable
Student 109,4,4,4,4,4,4,3,3,LessEmployable
Student 110,2,5,4,4,2,4,5,3,LessEmployable
Student 111,1,4,4,4,3,4,3,5,Employable
Student 112,3,4,4,4,4,4,3,5,Employable
Student 113,3,5,4,4,5,4,4,5,Employable
Student 114,3,3,4,4,2,3,3,4,Employable
Student 115,5,4,3,3,1,4,4,5,LessEmployable
Student 116,1,5,5,5,1,5,5,5,Employable
Student 117,2,4,5,5,4,5,4,5,Employable
Student 118,1,4,5,5,3,5,4,5,Employable
Student 119,3,3,5,4,2,3,3,5,Employable
Student 120,2,4,5,5,3,4,4,4,Employable
Student 121,3,3,5,4,2,4,3,4,LessEmployable
Student 122,5,5,5,5,4,4,3,4,Employable
Student 123,4,5,5,5,4,5,3,5,Employable
Student 124,2,4,4,4,4,4,4,5,LessEmployable
Student 125,2,3,4,4,3,3,3,5,LessEmployable
Student 126,1,4,4,4,2,4,3,5,LessEmployable
Student 127,2,4,5,4,3,4,3,5,LessEmployable
Student 128,5,3,5,4,3,5,3,5,Employable
Student 129,2,3,3,3,2,3,2,5,Employable
Student 130,4,3,4,3,1,3,4,4,Employable
Student 131,2,3,4,4,5,3,3,3,Employable
Student 132,2,3,3,2,2,2,3,4,Employable
Student 133,2,5,5,5,4,5,4,5,LessEmployable
Student 134,2,3,4,3,3,3,4,5,LessEmployable
Student 135,4,3,4,4,1,3,3,4,LessEmployable
Student 136,2,3,4,4,2,3,3,5,Employable
Student 137,3,4,4,4,4,3,3,5,Employable
Student 138,3,4,5,5,4,5,5,5,LessEmployable
Student 139,5,5,5,5,3,4,5,5,Employable
Student 140,2,5,5,5,1,4,5,5,Employable
Student 141,2,4,3,4,3,4,4,5,LessEmployable
Student 142,3,3,4,4,3,3,3,4,LessEmployable
Student 143,4,3,4,4,2,4,4,5,LessEmployable
Student 144,4,3,4,4,5,4,4,5,LessEmployable
Student 145,4,4,4,4,3,4,5,5,LessEmployable
Student 146,2,3,3,3,2,3,3,3,Employable
Student 147,4,3,4,3,4,3,3,3,Employable
Student 148,5,4,3,4,4,4,3,5,Employable
Student 149,1,4,4,3,4,4,3,4,LessEmployable
Student 150,2,4,4,3,3,4,4,4,LessEmployable
Student 151,4,3,2,4,2,4,3,5,LessEmployable
Student 152,3,5,5,4,4,4,5,5,LessEmployable
Student 153,3,2,4,4,4,3,3,5,LessEmployable
Student 154,3,5,5,5,2,5,5,5,LessEmployable
Student 155,2,3,3,4,1,3,3,3,Employable
Student 156,3,4,3,3,4,3,2,3,LessEmployable
Student 157,4,5,5,5,2,4,5,5,Employable
Student 158,2,5,5,5,3,5,5,3,LessEmployable
Student 159,4,5,5,3,4,5,3,5,LessEmployable
Student 160,3,5,3,5,2,5,3,5,Employable
Student 161,3,5,5,3,2,5,3,5,Employable
Student 162,3,3,3,3,1,3,3,5,Employable
Student 163,2,3,4,4,3,3,3,5,Employable
Student 164,3,3,4,2,2,2,2,5,LessEmployable
Student 165,4,2,3,3,4,3,3,5,LessEmployable
Student 166,3,5,4,5,4,5,4,5,LessEmployable
Student 167,3,4,3,4,5,4,3,5,Employable
Student 168,4,3,3,3,1,3,3,5,Employable
Student 169,4,4,4,4,3,4,4,5,Employable
Student 170,3,4,4,4,3,4,4,4,Employable
Student 171,3,4,4,4,1,3,3,5,LessEmployable
Student 172,1,4,5,5,3,5,4,5,LessEmployable
Student 173,1,4,3,3,3,3,3,5,LessEmployable
Student 174,2,3,3,3,1,3,3,5,Employable
Student 175,4,5,4,4,2,4,4,5,LessEmployable
Student 176,3,4,4,4,4,4,4,5,Employable
Student 177,5,5,4,5,1,4,5,4,Employable
Student 178,4,4,4,4,1,5,5,3,Employable
Student 179,5,3,3,4,3,3,3,5,LessEmployable
Student 180,3,5,5,5,1,4,4,5,Employable
Student 181,1,4,4,3,1,4,3,5,Employable
Student 182,3,4,4,3,1,4,3,5,Employable
Student 183,1,5,4,5,2,5,5,5,Employable
Student 184,5,4,4,4,5,4,3,5,Employable
Student 185,5,3,3,3,3,3,2,5,LessEmployable
Student 186,2,3,3,2,4,3,3,5,LessEmployable
Student 187,3,4,3,3,3,4,3,5,Employable
Student 188,5,4,3,3,3,3,3,5,Employable
Student 189,3,4,4,3,4,3,3,3,Employable
Student 190,3,3,3,4,2,3,3,5,Employable
Student 191,3,4,4,4,1,4,4,5,Employable
Student 192,3,4,3,4,2,4,4,5,Employable
Student 193,4,5,5,5,4,5,4,5,LessEmployable
Student 194,5,4,4,4,5,4,4,5,Employable
Student 195,5,3,3,2,1,3,2,5,LessEmployable
Student 196,4,3,3,3,2,2,2,4,LessEmployable
Student 197,3,4,3,4,3,4,3,5,LessEmployable
Student 198,2,3,3,3,2,3,3,4,LessEmployable
Student 199,3,3,3,3,4,3,3,4,LessEmployable
Student 200,5,4,4,4,5,4,4,5,LessEmployable
Student 201,2,4,4,5,4,4,4,5,LessEmployable
Student 202,4,3,3,4,2,4,3,5,LessEmployable
Student 203,3,4,5,4,4,4,4,5,Employable
Student 204,4,4,4,4,5,4,4,3,Employable
Student 205,2,4,5,5,4,5,4,5,Employable
Student 206,4,3,3,3,3,3,3,3,LessEmployable
Student 207,3,5,5,5,2,4,4,4,Employable
Student 208,5,5,4,4,2,5,4,3,Employable
Student 209,2,4,4,4,2,3,3,3,LessEmployable
Student 210,3,5,5,5,4,4,4,3,Employable
Student 211,3,4,4,4,4,5,4,5,Employable
Student 212,1,5,5,5,3,5,4,5,Employable
Student 213,3,3,4,4,3,4,3,5,LessEmployable
Student 214,4,3,4,4,3,3,3,3,LessEmployable
Student 215,3,5,4,5,3,4,4,5,LessEmployable
Student 216,2,4,4,5,3,4,3,5,LessEmployable
Student 217,4,4,5,5,3,5,5,5,Employable
Student 218,4,3,3,4,1,3,3,3,Employable
Student 219,3,5,5,5,5,5,4,5,Employable
Student 220,5,5,4,5,3,5,5,5,Employable
Student 221,2,4,3,3,1,4,4,3,LessEmployable
Student 222,1,5,5,5,2,4,4,5,Employable
Student 223,2,5,5,5,3,4,4,5,Employable
Student 224,3,4,5,5,5,4,4,3,Employable
Student 225,3,4,5,5,3,4,4,5,Employable
Student 226,3,3,4,3,3,3,3,5,LessEmployable
Student 227,3,4,5,5,4,4,4,5,LessEmployable
Student 228,1,3,4,4,5,4,3,5,LessEmployable
Student 229,2,3,3,3,5,3,3,3,LessEmployable
Student 230,4,4,5,5,3,4,4,5,Employable
Student 231,2,5,5,5,2,4,4,3,Employable
Student 232,4,4,5,5,4,4,4,5,Employable
Student 233,2,5,5,5,5,5,4,5,Employable
Student 234,3,4,5,5,1,4,4,5,Employable
Student 235,4,5,5,5,4,5,4,5,Employable
Student 236,4,4,5,5,2,4,4,3,Employable
Student 237,3,3,4,4,4,4,3,5,LessEmployable
Student 238,5,4,4,4,4,4,4,5,LessEmployable
Student 239,2,4,5,5,2,4,4,4,Employable
Student 240,4,5,4,4,2,5,4,5,Employable
Student 241,4,3,3,3,3,3,3,5,Employable
Student 242,1,4,4,4,3,4,4,5,LessEmployable
Student 243,4,3,3,4,3,3,3,5,Employable
Student 244,2,4,4,3,3,3,3,5,Employable
Student 245,3,4,4,3,5,3,3,4,LessEmployable
Student 246,3,4,4,4,1,4,4,4,Employable
Student 247,2,3,3,4,2,3,3,5,Employable
Student 248,5,5,3,5,5,5,5,5,Employable
Student 249,4,4,4,4,2,4,4,5,Employable
Student 250,5,5,5,5,2,5,5,5,Employable
Student 251,5,4,4,4,2,4,4,4,Employable
Student 252,3,3,3,3,2,3,3,5,Employable
Student 253,2,4,3,4,5,4,3,5,Employable
Student 254,4,4,4,4,3,4,4,5,LessEmployable
Student 255,4,3,3,3,4,3,4,5,LessEmployable
Student 256,3,4,4,4,3,4,3,4,Employable
Student 257,3,4,4,4,4,4,3,5,Employable
Student 258,3,4,4,4,1,4,4,5,Employable
Student 259,2,4,4,3,2,4,4,5,Employable
Student 260,1,4,4,3,1,4,3,5,LessEmployable
Student 261,4,3,2,3,4,2,3,5,Employable
Student 262,4,3,4,3,4,3,3,4,Employable
Student 263,4,4,3,4,5,4,3,5,LessEmployable
Student 264,2,4,4,4,3,3,3,5,Employable
Student 265,4,3,3,4,4,3,3,4,LessEmployable
Student 266,2,3,3,3,4,3,2,5,Employable
Student 267,4,4,4,4,4,4,4,5,Employable
Student 268,2,5,4,5,1,4,4,5,Employable
Student 269,2,4,4,3,4,4,3,5,LessEmployable
Student 270,4,4,4,4,4,4,4,5,Employable
Student 271,5,5,5,5,5,5,4,5,Employable
Student 272,2,3,3,3,5,2,2,4,Employable
Student 273,4,4,4,4,4,4,3,5,LessEmployable
Student 274,2,4,4,4,3,4,4,5,LessEmployable
Student 275,4,3,3,3,5,3,2,5,Employable
Student 276,2,4,4,4,4,4,4,4,Employable
Student 277,3,3,3,3,2,3,3,5,LessEmployable
Student 278,3,3,4,3,4,3,3,5,Employable
Student 279,2,3,4,3,5,3,2,5,Employable
Student 280,3,2,3,3,4,3,3,5,LessEmployable
Student 281,3,4,3,4,3,4,3,4,LessEmployable
Student 282,2,4,4,3,3,4,3,5,Employable
Student 283,3,4,5,4,3,4,4,5,LessEmployable
Student 284,4,4,4,4,4,3,3,5,LessEmployable
Student 285,3,4,4,4,2,4,3,5,LessEmployable
Student 286,2,4,4,4,1,4,4,5,LessEmployable
Student 287,4,5,4,4,3,4,4,5,LessEmployable
Student 288,5,5,4,5,4,5,5,5,Employable
Student 289,3,4,4,4,2,4,4,5,Employable
Student 290,3,4,4,4,4,4,3,4,LessEmployable
Student 291,2,4,4,4,2,4,3,3,LessEmployable
Student 292,5,5,4,4,1,4,5,3,LessEmployable
Student 293,5,4,4,4,1,4,3,5,Employable
Student 294,3,4,4,4,4,4,3,5,Employable
Student 295,3,5,4,4,1,4,4,5,Employable
Student 296,2,3,4,4,5,3,3,4,Employable
Student 297,2,4,3,3,5,4,4,5,LessEmployable
Student 298,1,5,5,5,2,5,5,5,Employable
Student 299,5,4,5,5,3,5,4,5,Employable
Student 300,4,4,5,5,3,5,4,5,Employable
Student 301,3,3,5,4,5,3,3,5,Employable
Student 302,2,4,5,5,4,4,4,4,Employable
Student 303,2,3,5,4,2,4,3,4,LessEmployable
Student 304,4,5,5,5,1,4,3,4,Employable
Student 305,3,5,5,5,4,5,3,5,Employable
Student 306,2,4,4,4,3,4,4,5,LessEmployable
Student 307,1,3,4,4,4,3,3,5,LessEmployable
Student 308,2,4,4,4,5,4,3,5,LessEmployable
Student 309,2,4,5,4,3,4,3,5,LessEmployable
Student 310,3,3,5,4,3,5,3,5,Employable
Student 311,2,3,3,3,4,3,2,5,Employable
Student 312,3,3,4,3,2,3,4,4,Employable
Student 313,1,3,4,4,3,3,3,3,Employable
Student 314,4,3,3,2,2,2,3,4,Employable
Student 315,2,5,5,5,2,5,4,5,LessEmployable
Student 316,2,3,4,3,3,3,4,5,LessEmployable
Student 317,2,3,4,4,3,3,3,4,LessEmployable
Student 318,2,3,4,4,4,3,3,5,Employable
Student 319,2,4,4,4,1,3,3,5,Employable
Student 320,2,4,5,5,3,5,5,5,LessEmployable
Student 321,1,5,5,5,3,4,5,5,Employable
Student 322,3,5,5,5,5,4,5,5,Employable
Student 323,1,4,3,4,5,4,4,5,LessEmployable
Student 324,3,3,4,4,4,3,3,4,LessEmployable
Student 325,5,3,4,4,1,4,4,5,LessEmployable
Student 326,3,3,4,4,4,4,4,5,LessEmployable
Student 327,5,4,4,4,4,4,5,5,LessEmployable
Student 328,1,3,3,3,2,3,3,3,Employable
Student 329,2,3,4,3,3,3,3,3,Employable
Student 330,2,4,3,4,1,4,3,5,Employable
Student 331,5,4,4,3,5,4,3,4,LessEmployable
Student 332,3,4,4,3,2,4,4,4,LessEmployable
Student 333,4,3,2,4,4,4,3,5,LessEmployable
Student 334,4,5,5,4,2,4,5,5,LessEmployable
Student 335,2,2,4,4,5,3,3,5,LessEmployable
Student 336,3,5,5,5,3,5,5,5,LessEmployable
Student 337,1,3,3,4,2,3,3,3,Employable
Student 338,1,4,3,3,4,3,2,3,LessEmployable
Student 339,3,5,5,5,3,4,5,5,Employable
Student 340,4,5,5,5,4,5,5,3,LessEmployable
Student 341,3,5,5,3,3,5,3,5,LessEmployable
Student 342,2,5,3,5,1,5,3,5,Employable
Student 343,2,5,5,3,4,5,3,5,Employable
Student 344,2,3,3,3,4,3,3,5,Employable
Student 345,5,3,4,4,5,3,3,5,Employable
Student 346,5,3,4,2,3,2,2,5,LessEmployable
Student 347,5,2,3,3,4,3,3,5,LessEmployable
Student 348,4,5,4,5,4,5,4,5,LessEmployable
Student 349,3,4,3,4,5,4,3,5,Employable
Student 350,1,3,3,3,2,3,3,5,Employable
Student 351,4,4,4,4,1,4,4,5,Employable
Student 352,4,4,4,4,3,4,4,4,Employable
Student 353,4,4,4,4,4,3,3,5,LessEmployable
Student 354,4,4,5,5,3,5,4,5,LessEmployable
Student 355,1,4,3,3,2,3,3,5,LessEmployable
Student 356,2,3,3,3,2,3,3,5,Employable
Student 357,5,5,4,4,3,4,4,5,LessEmployable
Student 358,1,4,4,4,2,4,4,5,Employable
Student 359,2,5,4,5,3,4,5,4,Employable
Student 360,5,4,4,4,5,5,5,3,Employable
Student 361,3,3,3,4,4,3,3,5,LessEmployable
Student 362,4,5,5,5,3,4,4,5,Employable
Student 363,4,4,4,3,1,4,3,5,Employable
Student 364,4,4,4,3,3,4,3,5,Employable
Student 365,4,5,4,5,1,5,5,5,Employable
Student 366,4,4,4,4,2,4,3,5,Employable
Student 367,2,3,3,3,3,3,2,5,LessEmployable
Student 368,4,3,3,2,4,3,3,5,LessEmployable
Student 369,4,4,3,3,3,4,3,5,Employable
Student 370,2,4,3,3,5,3,3,5,Employable
Student 371,2,4,4,3,5,3,3,3,Employable
Student 372,4,3,3,4,1,3,3,5,Employable
Student 373,3,4,4,4,3,4,4,5,Employable
Student 374,2,4,3,4,3,4,4,5,Employable
Student 375,2,5,5,5,2,5,4,5,LessEmployable
Student 376,5,4,4,4,4,4,4,5,Employable
Student 377,2,3,3,2,2,3,2,5,LessEmployable
Student 378,3,3,3,3,4,2,2,4,LessEmployable
Student 379,3,4,3,4,2,4,3,5,LessEmployable
Student 380,4,3,3,3,1,3,3,4,LessEmployable
Student 381,3,3,3,3,2,3,3,4,LessEmployable
Student 382,3,4,4,4,4,4,4,5,LessEmployable
Student 383,3,4,4,5,2,4,4,5,LessEmployable
Student 384,2,3,3,4,3,4,3,5,LessEmployable
Student 385,2,4,5,4,3,4,4,5,Employable
Student 386,4,4,4,4,4,4,4,3,Employable
Student 387,4,4,5,5,3,5,4,5,Employable
Student 388,1,3,3,3,5,3,3,3,LessEmployable
Student 389,4,5,5,5,2,4,4,4,Employable
Student 390,3,5,4,4,2,5,4,3,Employable
Student 391,4,4,4,4,2,3,3,3,LessEmployable
Student 392,5,5,5,5,1,4,4,3,Employable
Student 393,3,4,4,4,4,5,4,5,Employable
Student 394,4,5,5,5,4,5,4,5,Employable
Student 395,1,3,4,4,2,4,3,5,LessEmployable
Student 396,3,3,4,4,3,3,3,3,LessEmployable
Student 397,2,5,4,5,2,4,4,5,LessEmployable
Student 398,3,4,4,5,4,4,3,5,LessEmployable
Student 399,2,4,5,5,5,5,5,5,Employable
Student 400,1,3,3,4,2,3,3,3,Employable
Student 401,3,5,5,5,2,5,4,5,Employable
Student 402,2,5,4,5,2,5,5,5,Employable
Student 403,1,4,3,3,3,4,4,3,LessEmployable
Student 404,2,5,5,5,3,4,4,5,Employable
Student 405,5,5,5,5,4,4,4,5,Employable
Student 406,2,4,5,5,3,4,4,3,Employable
Student 407,4,4,5,5,4,4,4,5,Employable
Student 408,4,3,4,3,2,3,3,5,LessEmployable
Student 409,5,4,5,5,2,4,4,5,LessEmployable
Student 410,4,3,4,4,3,4,3,5,LessEmployable
Student 411,4,3,3,3,2,3,3,3,LessEmployable
Student 412,4,4,5,5,2,4,4,5,Employable
Student 413,4,5,5,5,4,4,4,3,Employable
Student 414,1,4,5,5,5,4,4,5,Employable
Student 415,1,5,5,5,1,5,4,5,Employable
Student 416,3,4,5,5,4,4,4,5,Employable
Student 417,5,5,5,5,4,5,4,5,Employable
Student 418,1,4,5,5,3,4,4,3,Employable
Student 419,4,3,4,4,2,4,3,5,LessEmployable
Student 420,5,4,4,4,4,4,4,5,LessEmployable
Student 421,1,4,5,5,2,4,4,4,Employable
Student 422,3,5,4,4,1,5,4,5,Employable
Student 423,2,3,3,3,5,3,3,5,Employable
Student 424,2,4,4,4,3,4,4,5,LessEmployable
Student 425,4,3,3,4,4,3,3,5,Employable
Student 426,3,4,4,3,1,3,3,5,Employable
Student 427,4,4,4,3,4,3,3,4,LessEmployable
Student 428,1,4,4,4,4,4,4,4,Employable
Student 429,1,3,3,4,5,3,3,5,Employable
Student 430,3,5,3,5,3,5,5,5,Employable
Student 431,4,4,4,4,4,4,4,5,Employable
Student 432,4,5,5,5,5,5,5,5,Employable
Student 433,4,4,4,4,4,4,4,4,Employable
Student 434,2,3,3,3,2,3,3,5,Employable
Student 435,3,4,3,4,2,4,3,5,Employable
Student 436,3,4,4,4,5,4,4,5,LessEmployable
Student 437,2,3,3,3,4,3,4,5,LessEmployable
Student 438,1,4,4,4,2,4,3,4,Employable
Student 439,2,4,4,4,3,4,3,5,Employable
Student 440,1,4,4,4,2,4,4,5,Employable
Student 441,1,4,4,3,3,4,4,5,Employable
Student 442,4,4,4,3,3,4,3,5,LessEmployable
Student 443,1,3,2,3,5,2,3,5,Employable
Student 444,2,3,4,3,1,3,3,4,Employable
Student 445,3,4,3,4,5,4,3,5,LessEmployable
Student 446,3,4,4,4,4,3,3,5,Employable
Student 447,1,3,3,4,3,3,3,4,LessEmployable
Student 448,2,3,3,3,2,3,2,5,Employable
Student 449,5,4,4,4,1,4,4,5,Employable
Student 450,1,5,4,5,4,4,4,5,Employable
Student 451,3,4,4,3,4,4,3,5,LessEmployable
Student 452,3,4,4,4,3,4,4,5,Employable
Student 453,4,5,5,5,3,5,4,5,Employable
Student 454,3,3,3,3,5,2,2,4,Employable
Student 455,5,4,4,4,3,4,3,5,LessEmployable
Student 456,1,4,4,4,5,4,4,5,LessEmployable
Student 457,2,3,3,3,5,3,2,5,Employable
Student 458,2,4,4,4,2,4,4,4,Employable
Student 459,3,3,3,3,1,3,3,5,LessEmployable
Student 460,2,3,4,3,2,3,3,5,Employable
Student 461,2,3,4,3,2,3,2,5,Employable
Student 462,3,2,3,3,4,3,3,5,LessEmployable
Student 463,2,4,3,4,4,4,3,4,LessEmployable
Student 464,1,4,4,3,4,4,3,5,Employable
Student 465,4,4,5,4,4,4,4,5,LessEmployable
Student 466,2,4,4,4,4,3,3,5,LessEmployable
Student 467,4,4,4,4,5,4,3,5,LessEmployable
Student 468,2,4,4,4,4,4,4,5,LessEmployable
Student 469,2,5,4,4,3,4,4,5,LessEmployable
Student 470,3,5,4,5,3,5,5,5,Employable
Student 471,3,4,4,4,1,4,4,5,Employable
Student 472,5,4,4,4,4,4,3,4,LessEmployable
Student 473,2,4,4,4,1,4,3,3,LessEmployable
Student 474,2,5,4,4,4,4,5,3,LessEmployable
Student 475,4,4,4,4,3,4,3,5,Employable
Student 476,1,4,4,4,1,4,3,5,Employable
Student 477,2,5,4,4,3,4,4,5,Employable
Student 478,1,3,4,4,3,3,3,4,Employable
Student 479,4,4,3,3,5,4,4,5,LessEmployable
Student 480,3,5,5,5,2,5,5,5,Employable
Student 481,2,4,5,5,2,5,4,5,Employable
Student 482,4,4,5,5,4,5,4,5,Employable
Student 483,4,3,5,4,4,3,3,5,Employable
Student 484,4,4,5,5,2,4,4,4,Employable
Student 485,2,3,5,4,3,4,3,4,LessEmployable
Student 486,3,5,5,5,5,4,3,4,Employable
Student 487,4,5,5,5,4,5,3,5,Employable
Student 488,1,4,4,4,3,4,4,5,LessEmployable
Student 489,2,3,4,4,4,3,3,5,LessEmployable
Student 490,1,4,4,4,4,4,3,5,LessEmployable
Student 491,2,4,5,4,4,4,3,5,LessEmployable
Student 492,1,3,5,4,2,5,3,5,Employable
Student 493,4,3,3,3,4,3,2,5,Employable
Student 494,4,3,4,3,1,3,4,4,Employable
Student 495,2,3,4,4,1,3,3,3,Employable
Student 496,3,3,3,2,2,2,3,4,Employable
Student 497,5,5,5,5,5,5,4,5,LessEmployable
Student 498,5,3,4,3,2,3,4,5,LessEmployable
Student 499,4,3,4,4,4,3,3,4,LessEmployable
Student 500,2,3,4,4,1,3,3,5,Employable
Student 501,2,4,4,4,2,3,3,5,Employable
Student 502,2,4,5,5,2,5,5,5,LessEmployable
Student 503,3,5,5,5,2,4,5,5,Employable
Student 504,4,5,5,5,4,4,5,5,Employable
Student 505,3,4,3,4,4,4,4,5,LessEmployable
Student 506,2,3,4,4,4,3,3,4,LessEmployable
Student 507,2,3,4,4,4,4,4,5,LessEmployable
Student 508,4,3,4,4,2,4,4,5,LessEmployable
Student 509,2,4,4,4,4,4,5,5,LessEmployable
Student 510,3,3,3,3,5,3,3,3,Employable
Student 511,2,3,4,3,5,3,3,3,Employable
Student 512,3,4,3,4,4,4,3,5,Employable
Student 513,2,4,4,3,5,4,3,4,LessEmployable
Student 514,3,4,4,3,1,4,4,4,LessEmployable
Student 515,1,3,2,4,1,4,3,5,LessEmployable
Student 516,4,5,5,4,4,4,5,5,LessEmployable
Student 517,3,2,4,4,2,3,3,5,LessEmployable
Student 518,4,5,5,5,4,5,5,5,LessEmployable
Student 519,3,3,3,4,4,3,3,3,Employable
Student 520,1,4,3,3,3,3,2,3,LessEmployable
Student 521,2,5,5,5,5,4,5,5,Employable
Student 522,5,5,5,5,2,5,5,3,LessEmployable
Student 523,2,5,5,3,5,5,3,5,LessEmployable
